M̻s,Real,Previsto,Erro,Erro %
2024-09,"383.116,88","304.142,94","78.973,94","20,61"
2024-10,"314.377,77","303.962,81","10.414,96","3,31"
2024-11,"195.549,44","304.023,92","-108.474,48","-55,47"
2024-12,"206.502,55","304.450,11","-97.947,56","-47,43"
2025-01,"599.172,78","304.794,97","294.377,81","49,13"
2025-02,"82.277,43","304.189,31","-221.911,88","-269,71"
2025-03,"327.084,45","304.215,21","22.869,24","6,99"
2025-04,"173.814,03","303.956,35","-130.142,32","-74,87"
2025-05,"255.179,99","304.269,95","-49.089,96","-19,24"
2025-06,"146.435,27","304.789,46","-158.354,19","-108,14"
2025-07,"295.249,64","304.244,89","-8.995,25","-3,05"
2025-08,"250.418,14","304.126,54","-53.708,40","-21,45"
